,0,Mfccs0,Mfccs1,Mfccs10,Mfccs11,Mfccs12,Mfccs13,Mfccs14,Mfccs15,Mfccs16,Mfccs17,Mfccs18,Mfccs19,Mfccs2,Mfccs3,Mfccs4,Mfccs5,Mfccs6,Mfccs7,Mfccs8,Mfccs9,Name,chroma,isTrigger,spectralBandwidth,spectralCentroid,spectralRolloff,spectralRolloffMin,spectralZeroCrossing
24,-5.183822154998779,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2.7788515090942383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,-4.208407878875732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.4404085874557495,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,874.6949808336904,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,648.5509776464448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2325.68359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50.78125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.19770000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-282.6840515136719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,45.480865478515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.7302939891815186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-4.225433349609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-18.19986343383789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-0.9437379837036133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-19.87247085571289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-6.203494548797607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-13.312078475952148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6.897884368896484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-10.734390258789062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5.082545757293701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-10.535181999206543,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4.423094749450684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-11.728828430175781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2.9579250812530518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-6.980252265930176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,7.025639533996582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,-4.399471282958984,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,-0.23861941695213318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.3102555572986603,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,663.3219181036523,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,564.6254607648483,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2235.107421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,56.640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0955,,,,,,,,,,,,,,,,,,,,,,,,,,,,
